"u","r","R","l","u","d","R","l","R","R","R","l","l","d","d","R","R","R","u","R","l","r","R","R","R","l","l","R","u","R","u","l","l","l","d","R","u","l","R","l","r","l","R","d","r","R","u","l","u","R","d","l","u","u","l","l","R","d","d","L","d","D","l","l","r","l","R","R","R","R","d","R","D","u","u","R","u","l","R","l","R","l","u","l","l","R","l","D","D","R","l","d","L","l","l","l","r","l","R","R","D","u","R","l","l","r","l","l","l","l","R","u","l","l","d","d","u","l","u","R","u","d","R","l","R","l","D","R","R","L","R","D","l","u","D","l","D","R","R","d","l","l","l","l","d","u","r","u","u","D","R","l","l","u","d","R","D","R","u","D","D","D","l","l","u","D","u","D","U","L","l","l","R","R","u","l","l","R","l","u","u","u","l","R","u","D","l","l","R","l","u","u","R","R","u","R","l","D","u","R","r","u","u","L","U","R","l","u","d","R","R","l","D","R","R","l","R","u","R","R","l","r","u","l","u","u","d","R","R","d","l","R","l","u","d","L","d","R","u","l","R","r","R","L","R","u","l","u","l","R","U","R","R","R","D","R","R","R","D","l","R","d","d","u","l","D","R","l","r","R","l","u","l","l","l","d","r","R","R","R","l","R","u","R","l","l","R","l","l","D","d","D","l","d","d","U","d","R","l","d","r","D","d","u","l","l","l","d","l","R","R","l","r","R","l","l","l","r","d","l","R","d","l","R","l","R","u","u","D","d","l","u","u","l","r","r","R","u","u","l","u","R","R","l","D","u","R","l","r","R","R","R","d","d","l","u","d","l","R","r","u","D","D","R","R","l","l","r","R","R","l","d","l","R","R","u","R","u","d","D","L","u","l","u","l","D","l","R","l","d","l","r","l","U","r","R","R","l","l","R","l","l","u","d","R","l","l","l","l","l","d","u","u","l","R","R","R","R","u","R","l","R","D","l","d","u","l","l","R","u","l","l","l","d","u","l","l","u","R","l","D","l","u","r","l","R","R","u","d","R","R","R","R","R","u","l","u","R","l","l","R","u","R","R","R","R","l","R","l","D","l","l","u","R","R","R","d","u","l","l","l","d","R","l","l","l","u","r","R","D","R","D","r","l","l","R","U","l"
"l","R","R","l","l","R","R","u","d","R","d","u","D","l","R","u","u","D","u","r","d","R","d","r","L","u","l","l","D","l","l","u","u","l","d","l","R","l","r","u","R","l","l","l","l","l","l","R","U","R","D","R","l","l","l","u","r","l","u","l","d","L","U","D","r","u","l","d","U","l","l","l","R","D","l","l","u","D","l","L","R","R","l","d","d","u","u","R","d","R","D","R","R","d","u","R","l","u","l","r","u","R","l","d","l","d","R","l","u","l","R","u","L","R","L","R","D","l","u","l","u","l","R","D","R","R","R","D","R","R","R","r","R","u","d","R","R","u","u","u","l","l","r","R","l","l","l","R","u","R","D","r","R","R","u","l","l","r","R","D","l","R","R","R","u","R","r","R","u","l","R","R","R","R","d","u","u","R","R","l","l","R","r","u","R","u","u","u","R","l","l","R","R","d","r","l","u","l","d","R","L","l","D","u","R","l","d","R","r","l","u","D","R","R","d","R","l","R","l","l","l","l","R","d","r","R","d","R","R","d","U","D","R","R","u","l","u","R","d","l","R","d","u","l","R","u","R","u","d","R","u","d","l","R","D","R","d","l","d","u","l","D","R","l","l","l","u","l","u","D","R","l","D","l","D","l","d","U","R","D","R","R","r","r","l","u","d","d","l","l","l","d","l","d","l","l","r","d","l","R","l","d","R","l","R","R","u","l","R","R","R","r","R","l","l","u","R","u","l","R","l","R","u","R","D","d","R","l","u","R","D","R","l","R","R","u","u","l","u","R","R","l","D","d","l","R","d","R","l","u","R","D","l","D","R","r","d","l","u","R","u","u","u","D","l","u","u","l","R","u","R","D","r","R","l","u","l","l","l","d","u","l","R","d","r","D","l","l","D","R","R","u","l","l","R","l","d","l","d","l","R","u","R","R","l","l","R","u","R","l","d","R","l","l","l","l","u","l","r","l","R","R","R","l","D","u","u","R","l","d","l","R","l","l","l","R","l","d","R","D","l","l","l","R","L","R","l","d","l","R","l","l","l","l","u","u","l","u","R","l","u","D","R","d","l","R","U","l","R","l","R","R","r","R","l","l","u","u","l","l","l","r","l","R","l","R","l","l","R","l","R","R","l","R","r","d","D","u"
"d","R","l","R","U","l","l","R","l","R","r","R","l","l","R","R","u","l","l","R","l","l","R","u","l","l","l","D","l","D","l","D","U","R","l","u","r","u","R","R","r","R","u","R","R","u","R","u","u","d","l","u","l","L","D","l","U","l","R","u","R","l","d","l","r","l","R","l","l","R","u","r","D","u","R","L","D","d","d","l","d","R","R","L","l","u","l","l","l","l","l","l","u","R","R","R","d","l","R","R","R","u","d","u","l","u","D","l","R","l","R","u","l","d","l","l","R","D","l","R","d","l","l","u","d","R","u","l","R","u","R","R","R","u","l","R","d","l","R","l","r","r","l","d","l","u","R","D","D","l","l","l","R","r","R","u","l","D","u","u","R","l","R","D","u","u","l","l","l","l","R","d","R","D","r","l","D","D","l","r","u","l","l","R","l","R","l","l","u","u","d","u","l","u","u","R","D","u","u","u","U","R","u","d","l","R","r","l","D","R","d","R","l","l","l","D","u","l","R","l","d","R","R","l","R","u","R","r","R","u","l","r","l","R","r","d","R","d","u","u","l","l","l","R","l","u","d","R","u","R","l","D","l","l","u","R","l","d","R","l","R","d","l","R","R","d","l","u","u","d","d","R","U","d","R","R","D","R","l","R","R","l","R","d","l","l","l","R","r","D","R","L","R","d","L","R","R","l","R","u","R","u","l","D","R","l","R","u","d","D","l","R","R","u","l","d","R","R","l","l","l","R","D","r","r","l","R","l","l","u","l","l","R","r","d","d","u","u","l","r","l","R","l","l","l","L","l","l","R","u","r","l","u","u","D","u","R","l","u","u","R","R","r","l","R","l","d","l","R","l","u","R","R","R","l","d","u","R","l","d","R","l","l","l","D","l","l","l","r","u","l","R","u","l","d","R","R","d","d","l","r","R","r","D","R","l","u","d","D","D","R","u","l","L","l","R","R","u","l","l","l","l","u","R","d","R","d","u","l","d","l","d","D","r","R","r","D","l","d","d","R","R","R","l","R","u","u","u","u","R","R","R","R","D","L","R","u","l","l","l","l","R","d","u","l","l","u","U","R","u","l","R","u","u","l","R","l","u","d","R","l","R","R","d","D","l","R","R","R","R","l","D","l","R","u","R","R","R"
"D","l","l","l","u","R","u","u","l","l","l","R","R","u","l","R","l","l","u","D","l","l","l","R","R","u","l","l","R","R","u","l","u","D","D","u","R","R","d","R","R","R","l","R","R","l","u","l","l","R","r","l","R","d","u","d","u","l","l","l","l","u","u","R","d","D","D","r","u","u","R","l","R","d","l","d","l","l","R","D","u","l","l","l","U","d","l","u","D","l","l","r","u","R","d","l","u","l","R","r","R","l","l","R","l","u","l","l","l","d","u","R","u","d","l","l","l","l","R","R","d","l","d","l","l","l","u","r","L","l","R","R","l","u","R","l","R","l","D","R","R","d","D","R","l","R","u","R","u","l","D","R","d","D","d","R","R","l","l","l","l","d","r","D","d","r","r","l","U","u","l","R","r","L","l","l","l","u","l","l","u","u","u","d","U","R","D","d","d","l","d","r","R","R","R","u","R","R","u","R","u","l","R","d","l","l","l","l","R","d","R","l","r","L","D","u","l","R","d","l","l","R","R","l","l","R","u","l","u","u","d","l","l","l","D","R","u","l","u","D","D","l","r","r","l","l","u","D","u","R","R","R","D","l","u","R","l","U","u","l","R","R","R","l","d","D","D","u","l","l","R","l","l","r","r","d","R","r","R","d","l","l","d","l","R","L","d","l","d","u","l","u","l","R","u","l","l","R","R","l","l","d","l","d","R","l","D","R","R","l","D","u","u","u","R","R","u","d","R","u","l","R","d","D","R","D","u","R","D","u","L","d","d","R","u","R","L","l","R","l","R","R","l","u","R","L","l","d","l","d","u","R","D","R","R","l","R","R","R","r","l","l","u","u","r","R","u","R","R","l","u","R","r","r","R","l","u","l","u","l","u","R","l","R","R","l","u","L","u","l","R","l","r","l","l","l","R","u","d","l","R","R","d","D","l","R","l","d","l","R","u","l","R","R","U","R","u","l","R","d","R","d","u","R","R","l","R","R","l","l","u","R","R","r","R","d","R","R","d","R","l","R","l","u","R","R","R","R","u","l","d","d","R","R","d","U","R","R","r","l","l","l","l","l","R","D","l","R","u","R","u","l","R","l","D","u","D","R","R","l","l","D","R","R","l","l","R","D","u","R","l","R","R","u","r","D","R","R"
"l","d","u","l","R","l","R","l","R","l","R","l","l","R","r","u","d","R","l","D","l","l","D","l","u","l","u","l","l","u","l","l","l","d","l","R","u","l","d","d","l","R","R","d","R","u","d","u","D","R","u","r","d","D","R","d","u","l","R","u","R","l","l","r","d","R","R","u","u","u","d","l","u","l","l","u","R","l","D","u","l","u","l","u","R","u","l","l","l","u","u","l","r","R","D","R","R","l","D","R","R","R","R","u","R","R","u","l","r","R","l","U","R","l","l","R","l","l","d","R","r","l","d","U","r","l","r","l","R","l","l","R","u","R","u","l","R","R","l","R","d","R","R","u","D","u","l","l","l","l","R","u","R","R","r","R","R","R","L","d","u","u","D","R","d","u","R","R","D","R","R","l","l","D","D","l","R","u","l","D","l","u","l","U","u","R","u","u","l","l","l","D","D","R","l","R","R","u","u","u","R","R","D","l","R","d","l","l","R","R","l","R","R","d","l","l","u","R","L","l","l","l","u","l","u","u","l","R","u","R","d","l","u","D","l","R","R","R","u","r","R","D","R","l","R","l","l","l","l","D","R","D","d","l","R","l","d","R","r","R","l","u","u","l","d","L","u","d","D","d","L","r","l","d","l","R","l","d","u","R","R","R","R","l","d","R","R","d","d","u","l","u","U","l","R","l","d","R","R","l","R","d","d","R","l","R","u","R","l","R","R","R","R","d","R","d","u","l","r","l","l","R","d","r","R","l","u","D","l","l","l","d","r","l","R","R","R","u","d","R","u","R","R","R","l","u","D","l","r","l","R","d","D","D","d","D","l","l","l","R","l","l","R","R","L","l","l","l","l","l","l","R","L","R","R","r","u","l","l","l","r","R","l","l","u","d","R","l","R","l","u","d","l","l","r","l","l","l","u","R","R","D","u","R","l","l","R","u","r","l","D","R","u","u","u","r","l","D","l","L","R","R","l","R","l","R","d","l","D","u","r","R","D","R","l","R","u","u","l","l","d","u","r","d","R","D","R","l","R","l","l","R","l","d","d","l","R","R","L","d","R","R","u","R","D","u","u","R","l","R","D","l","R","U","r","U","d","u","R","l","u","R","R","u","u","R","l","D","u","r","d","R","D","l","R","l","l","u"
"l","l","l","d","d","R","u","D","L","D","u","u","d","u","R","l","R","d","l","R","l","l","R","d","l","l","l","u","R","l","R","L","R","l","R","R","R","R","l","u","R","D","l","l","u","u","R","u","l","R","l","d","l","R","R","R","D","u","l","u","R","u","R","u","R","r","l","l","l","u","l","l","u","R","U","l","R","l","R","D","l","l","R","l","L","u","r","R","R","L","D","u","R","D","R","R","l","u","R","l","R","d","u","R","R","u","d","R","D","R","R","u","u","d","R","l","l","l","l","R","l","U","R","r","l","R","R","l","u","l","l","l","l","l","R","u","l","R","l","R","u","l","R","R","l","r","L","u","R","R","d","l","r","R","R","R","R","u","u","l","u","r","r","l","d","d","u","R","U","R","l","l","D","l","d","R","R","l","l","D","l","u","R","l","D","l","D","l","l","D","u","r","R","u","R","R","u","D","l","u","l","u","R","d","l","u","l","D","l","R","R","d","l","l","l","l","l","l","D","R","l","u","u","r","U","u","d","d","D","R","u","l","R","l","u","d","l","D","u","u","d","l","R","l","u","R","l","d","r","d","l","D","u","r","l","R","d","L","R","r","l","l","R","l","l","R","R","R","R","l","l","D","u","r","u","l","d","u","R","R","D","l","u","l","R","l","u","u","u","l","d","l","U","R","u","l","l","d","u","l","u","u","D","u","l","d","u","d","R","d","l","R","R","d","d","R","l","l","R","r","R","l","u","r","R","l","l","r","R","R","R","R","R","l","d","l","R","U","u","D","R","d","d","r","R","u","R","D","l","d","l","d","l","R","u","l","l","R","u","R","R","l","d","R","d","l","l","u","l","R","r","l","l","l","R","u","R","u","R","r","l","u","R","l","D","d","R","u","R","R","u","d","r","R","l","R","l","d","R","u","u","d","u","u","l","r","d","R","l","l","d","R","R","l","l","D","l","l","L","u","u","l","l","d","D","R","d","r","l","l","l","l","l","d","l","R","d","R","r","R","l","u","l","R","R","D","R","R","R","D","l","u","R","d","l","R","R","l","R","R","l","r","R","R","l","R","l","u","R","l","r","D","l","d","R","l","D","R","R","D","l","R","R","D","R","R","L","l","d","R","l","R","l","D","u","l","R","u"
"R","l","u","d","R","D","r","u","l","R","l","R","u","l","l","d","l","l","l","R","u","L","R","d","u","u","R","u","D","l","R","d","R","l","D","U","R","l","R","u","u","l","d","R","D","R","r","u","u","R","l","r","R","r","R","l","D","l","l","R","R","r","l","R","R","l","D","l","l","d","l","u","R","u","R","l","l","l","l","D","L","r","l","R","R","u","r","R","l","R","d","R","l","R","l","l","D","u","d","l","l","u","l","l","u","l","l","u","R","l","l","L","d","R","u","l","u","R","R","R","d","l","R","R","R","d","D","R","u","r","l","R","l","R","d","R","R","R","l","l","R","u","R","u","l","R","l","l","l","l","R","l","u","u","l","d","L","d","r","u","l","R","l","l","R","R","l","R","l","l","u","R","u","u","l","R","r","l","D","r","R","l","d","l","d","R","l","R","l","l","D","R","l","d","l","R","u","D","u","D","u","l","R","R","R","D","d","R","r","d","l","l","l","R","l","R","u","R","R","l","L","l","R","l","R","l","u","d","R","D","R","l","R","l","R","u","R","l","r","u","d","d","R","l","R","R","l","R","u","l","d","R","R","R","r","R","d","l","r","D","l","R","R","l","d","R","r","u","d","d","U","l","u","l","u","d","R","U","R","l","l","l","u","d","r","R","R","l","D","l","u","l","r","d","l","l","d","l","l","R","u","D","d","l","u","u","u","l","u","u","R","u","R","R","u","r","u","R","R","l","l","r","d","R","u","l","R","d","D","D","u","l","R","d","R","d","d","R","R","u","l","u","R","R","U","d","u","u","l","u","u","R","D","u","l","u","l","D","D","r","u","l","R","l","l","U","l","d","u","R","R","R","D","l","l","l","r","l","D","R","l","D","l","l","D","d","u","l","l","D","l","l","u","l","d","r","R","u","R","l","r","R","L","l","R","l","l","l","R","R","l","l","D","u","R","u","u","R","D","u","R","r","d","L","u","l","u","R","d","l","r","l","d","l","R","R","u","l","l","l","R","l","u","D","R","l","R","l","R","l","l","l","u","R","u","l","l","R","u","R","D","D","R","R","l","u","d","R","l","l","R","D","R","R","d","D","u","D","R","R","l","R","R","d","u","R","d","l","l","R","l","l","R","R","R","l","L","d"
"R","u","R","d","R","u","l","R","R","l","R","D","l","l","l","D","u","R","d","R","u","D","R","l","u","R","r","D","l","r","l","R","D","D","d","D","u","l","u","l","d","l","R","l","d","l","u","D","R","r","R","R","R","D","u","D","l","D","u","l","u","l","R","d","l","R","d","L","l","R","l","l","l","D","l","R","L","d","u","l","d","R","d","r","u","R","l","R","R","l","R","d","l","u","l","d","R","R","u","L","R","u","R","l","l","D","u","u","l","D","L","R","l","d","u","R","u","l","r","d","R","d","R","l","R","R","l","u","u","l","l","l","R","l","l","l","l","R","u","r","R","R","R","l","R","u","l","d","l","D","d","D","d","d","l","R","d","R","l","l","l","D","l","l","R","D","r","l","R","l","R","l","l","R","l","l","R","u","l","R","r","R","R","u","R","l","l","R","R","l","l","R","l","l","u","l","D","l","D","R","d","d","l","l","d","R","l","u","d","l","R","R","u","u","l","l","d","l","l","R","R","R","u","R","R","D","u","R","R","u","u","D","R","u","u","l","l","R","l","R","R","l","u","u","u","u","D","R","l","R","R","u","l","l","r","u","l","l","R","l","l","L","R","u","d","u","U","d","l","R","l","l","l","u","l","R","D","l","R","l","l","l","R","d","l","R","d","d","l","R","R","l","l","R","u","l","d","l","R","R","r","D","u","l","R","d","R","R","l","R","r","R","d","D","l","d","u","l","l","u","l","u","l","r","R","l","R","U","R","R","R","R","l","D","R","l","l","l","u","u","l","l","l","R","R","l","l","l","u","l","d","r","R","r","R","R","u","R","D","u","R","R","l","l","u","l","u","r","R","u","u","l","U","u","R","u","l","r","r","u","R","l","R","l","R","R","R","l","r","R","R","l","U","d","d","u","d","l","d","l","d","d","l","r","D","l","U","R","R","d","d","D","R","D","D","D","R","R","u","u","r","R","l","D","R","d","R","L","d","l","R","R","R","r","R","R","l","R","u","u","U","u","u","l","d","R","u","r","R","L","R","l","l","R","d","u","R","d","l","l","u","l","l","D","r","l","R","R","r","l","r","u","R","R","l","d","R","u","l","l","u","l","l","l","R","D","R","u","u","d","l","u","l","l","R","u","R","L"
"u","l","R","l","l","l","R","u","l","l","R","l","l","l","u","R","R","R","R","u","l","l","L","r","l","u","d","r","R","R","D","l","d","R","R","D","L","l","R","l","u","u","R","l","R","R","u","l","u","u","l","R","l","u","R","D","d","u","R","u","R","d","R","R","D","l","l","R","R","d","R","D","l","R","r","R","l","r","R","l","R","u","u","u","R","l","l","R","u","u","u","u","R","r","r","u","l","R","l","R","D","R","D","r","l","D","R","r","l","l","l","R","l","u","u","u","u","u","u","u","u","u","d","D","l","D","R","u","R","u","R","l","D","d","l","L","R","l","r","R","d","d","l","l","l","u","D","R","u","l","l","l","U","d","R","R","d","l","l","R","d","d","l","R","l","R","l","r","u","l","u","u","R","r","R","R","d","u","U","R","D","R","D","u","R","l","R","l","l","R","l","l","u","l","u","d","R","l","R","R","l","d","D","D","l","R","R","R","l","R","l","l","l","l","D","l","d","D","d","R","u","l","u","u","d","u","l","R","R","l","R","u","D","L","l","r","l","l","l","r","l","l","R","R","r","l","r","R","l","R","d","d","d","r","R","l","R","d","l","u","l","d","d","R","l","u","l","u","l","l","R","u","l","l","u","l","l","D","D","r","l","l","d","R","D","u","D","d","D","u","l","l","R","d","l","R","l","R","R","R","l","r","u","R","u","l","D","R","l","l","u","R","l","R","r","l","d","R","l","R","D","U","l","l","u","l","l","R","l","R","R","R","l","U","l","D","R","l","R","l","D","R","R","R","l","d","l","u","r","u","l","R","l","D","r","R","R","d","d","D","R","u","l","d","R","R","u","d","d","R","r","R","R","u","R","R","L","R","R","D","D","l","l","l","R","R","R","d","l","R","R","R","r","D","d","l","l","u","u","R","R","u","l","R","R","R","l","l","u","l","l","R","l","l","l","R","u","l","l","D","l","l","u","R","u","R","d","l","l","l","l","R","r","d","u","u","L","R","l","R","d","d","u","u","d","d","l","R","R","u","R","l","U","l","R","d","l","l","L","R","D","d","l","u","L","R","R","D","l","l","u","R","R","l","l","R","r","U","l","l","l","u","l","R","l","d","l","d","R","u","R","R","l","R","d","u","d","u"
"R","D","R","l","l","u","d","d","l","d","u","R","l","u","l","u","R","R","R","R","d","l","R","R","l","R","d","d","l","d","L","u","l","u","R","l","r","D","u","R","D","R","R","u","d","d","l","u","R","R","l","l","R","l","R","l","l","l","l","D","R","R","R","R","u","R","l","R","l","l","d","l","R","u","l","l","R","l","R","D","r","D","u","D","R","R","R","l","u","R","R","D","l","l","L","R","r","r","r","u","R","d","l","d","l","l","R","l","R","r","R","l","u","l","R","d","u","L","d","R","l","l","l","R","u","l","l","u","l","D","R","R","u","u","d","R","R","R","u","l","D","R","d","u","l","l","l","u","R","R","R","R","R","u","u","l","l","l","R","r","D","R","r","R","D","r","d","l","r","u","l","l","l","R","D","R","D","R","R","l","D","l","R","l","u","u","l","r","D","l","l","d","d","l","R","R","d","u","R","l","l","l","u","R","d","R","d","l","r","r","U","l","D","l","R","L","d","R","R","r","u","D","R","d","R","l","u","l","U","R","R","u","l","l","d","R","l","l","l","u","d","R","r","D","R","l","u","R","l","l","l","R","R","l","u","l","l","u","R","R","u","R","l","d","l","R","R","r","r","R","R","l","d","l","R","u","u","R","d","R","l","u","R","R","l","d","R","D","l","l","r","l","l","U","d","l","D","u","d","D","l","d","R","l","D","L","L","d","d","L","u","l","R","D","d","R","R","R","u","l","u","R","u","d","l","l","l","u","l","R","d","u","u","l","l","D","l","l","l","u","R","l","u","U","l","u","d","r","R","R","D","u","R","R","l","L","R","l","D","R","l","l","l","R","u","d","u","R","R","r","l","R","l","l","R","u","R","R","l","l","R","l","l","l","l","R","D","D","l","u","U","R","R","R","D","l","u","u","l","D","r","l","R","d","R","u","R","u","l","l","l","r","l","u","R","R","R","u","d","D","u","u","D","l","R","u","l","l","l","R","l","u","l","l","l","u","U","R","u","D","R","u","l","R","l","u","l","R","u","R","d","d","R","l","u","R","d","u","l","r","d","u","R","d","R","l","l","r","u","R","R","d","R","R","R","l","D","R","R","l","u","d","l","u","R","l","r","l","u","r","l","D","l","l","l","u","u","l","d"
"l","u","d","R","R","l","R","R","D","l","u","l","u","d","u","R","l","l","R","l","R","d","l","R","R","R","l","r","R","l","l","l","u","R","R","R","R","l","D","U","R","R","l","l","R","R","l","u","l","d","l","R","R","d","l","L","R","u","d","l","R","l","l","D","R","u","D","l","d","R","l","u","l","l","l","u","u","R","u","R","d","D","l","R","D","l","l","R","l","r","u","R","D","R","R","u","l","d","l","l","r","D","D","u","R","R","l","u","R","l","l","u","R","R","l","l","r","l","r","D","u","l","l","D","l","R","R","R","d","R","L","R","l","d","u","D","r","d","R","R","R","l","l","u","u","l","l","L","l","l","u","R","D","l","l","u","l","d","l","R","D","l","R","l","R","R","d","l","u","R","l","l","R","R","R","R","r","d","D","u","R","R","l","l","l","r","R","R","R","d","d","R","l","d","R","R","r","d","D","u","l","l","R","R","u","R","l","l","l","l","D","D","l","u","D","d","R","l","u","L","R","u","R","u","D","l","R","L","u","u","R","u","l","d","l","R","R","D","d","u","r","d","u","u","l","R","d","u","R","l","l","l","l","l","r","u","u","l","r","l","r","R","R","d","R","d","l","R","D","l","l","R","l","r","R","R","d","R","d","R","u","l","R","u","R","R","u","u","U","l","l","R","R","l","l","R","L","d","r","l","r","l","l","u","d","u","R","u","L","d","l","R","l","R","d","R","D","l","u","u","u","D","l","l","u","l","l","u","r","d","d","u","R","D","R","D","R","l","R","R","d","R","l","R","u","u","R","l","D","l","R","l","l","r","R","u","l","l","u","d","d","d","l","u","d","R","u","u","d","R","R","R","l","r","d","R","D","u","u","r","l","R","R","l","D","l","R","l","u","R","D","u","d","U","l","D","R","l","u","l","l","D","l","l","d","l","l","R","l","R","l","r","R","u","r","u","l","l","l","R","l","R","d","R","L","R","u","R","r","l","l","R","l","d","l","u","l","l","u","u","l","R","R","d","l","l","D","r","R","R","l","l","l","R","l","l","u","R","U","l","R","D","r","l","l","d","R","d","R","D","R","R","u","R","l","R","R","D","R","R","u","u","R","U","l","U","u","l","u","R","u","R","d","R","l","l","u","r"
"R","R","l","r","R","u","R","U","u","u","l","D","u","U","d","D","u","d","D","l","R","u","u","l","l","U","l","l","R","D","D","l","R","R","d","R","R","L","R","R","L","u","l","R","l","R","R","R","l","l","d","l","u","R","R","r","u","u","u","l","D","l","l","u","R","R","l","D","l","l","R","D","L","R","r","l","l","l","D","u","l","R","D","R","u","d","D","R","R","D","R","u","l","d","R","R","d","R","D","u","l","d","l","D","R","r","R","l","u","l","l","d","l","l","R","R","l","u","r","l","u","r","R","u","R","D","l","R","R","R","u","R","l","d","l","R","R","d","d","u","u","l","l","R","R","u","r","l","l","R","l","R","d","D","l","d","d","d","l","R","R","U","l","l","u","l","u","R","R","d","r","l","l","l","l","l","u","D","l","r","l","R","l","l","l","R","u","l","R","R","u","R","l","l","l","l","r","l","R","l","u","u","D","u","l","l","R","l","d","D","l","l","l","R","R","R","R","D","l","u","l","u","l","R","d","R","R","R","l","l","l","u","l","l","l","R","R","R","r","l","l","d","l","D","d","R","l","l","R","R","l","R","l","R","R","r","r","u","R","D","L","L","D","R","u","l","u","u","R","l","l","D","u","l","d","R","R","l","d","L","R","u","D","l","l","l","l","R","R","l","R","D","R","l","l","u","u","R","u","R","l","r","l","l","l","R","D","R","l","R","u","u","l","r","R","l","l","l","l","D","r","r","R","R","l","R","l","l","d","d","l","l","u","l","u","u","d","d","R","d","R","R","R","l","l","l","l","l","u","R","l","d","l","R","l","d","u","r","R","d","L","l","r","l","u","D","u","R","R","U","R","R","u","d","R","u","u","u","R","d","u","l","R","l","l","R","R","r","R","u","R","l","R","l","l","r","l","l","d","R","R","u","l","d","R","d","l","D","u","l","l","R","R","R","d","u","l","R","l","u","R","u","d","u","R","R","u","R","l","R","R","l","L","R","l","R","u","r","R","R","D","d","d","l","u","u","R","l","r","u","d","l","l","d","R","l","d","r","R","d","l","u","R","R","l","D","u","l","l","u","U","D","R","r","l","R","l","R","l","R","R","D","u","R","D","d","u","l","r","R","R","R","d","d","d","d","u","u"
"R","l","R","R","R","R","d","d","l","l","R","d","u","D","d","u","R","d","U","u","R","l","d","R","u","u","r","R","l","R","l","R","R","l","l","D","d","D","R","u","l","l","d","u","R","u","R","l","D","l","D","d","R","u","R","R","D","l","d","R","u","R","u","d","u","d","l","R","l","u","l","l","d","l","l","R","l","R","R","R","l","R","R","u","R","R","U","R","R","D","R","u","r","u","l","D","R","l","d","u","R","l","l","u","R","R","d","u","u","u","d","R","l","R","l","l","l","u","l","l","l","R","R","l","L","l","l","R","l","d","R","D","l","R","d","R","u","l","u","R","l","l","R","l","l","d","l","l","u","d","r","u","R","l","l","l","l","R","r","l","R","l","l","l","R","d","d","l","R","R","l","r","R","d","D","U","D","l","u","d","l","R","R","l","l","R","d","r","l","R","r","u","D","D","l","u","D","r","l","R","l","u","R","R","D","l","u","R","R","u","u","D","D","U","u","D","l","R","l","R","R","R","l","l","R","l","d","R","r","u","R","l","l","R","d","d","R","l","R","u","l","U","D","u","r","r","r","d","u","R","l","R","d","r","l","l","R","u","u","u","d","R","R","r","l","u","R","R","u","l","R","l","u","d","u","u","d","R","d","l","r","L","R","R","d","D","l","l","R","D","l","R","d","d","l","l","u","D","l","R","D","D","l","l","l","r","l","l","R","d","l","L","l","r","l","l","R","l","l","R","R","r","l","l","R","r","u","l","l","R","d","u","d","D","d","R","R","u","u","l","l","l","r","l","d","l","R","R","R","r","u","L","R","D","l","l","R","u","l","R","R","d","l","l","l","d","R","l","l","u","R","u","R","r","l","R","u","R","l","R","l","D","R","R","r","u","D","R","d","l","L","R","u","u","u","l","l","D","l","l","l","u","d","D","R","l","l","R","l","u","l","R","D","D","L","l","R","l","R","R","l","R","r","D","L","u","l","u","R","R","R","R","l","R","u","R","R","L","R","l","D","l","u","R","R","R","r","l","u","u","l","u","d","u","l","l","l","l","u","l","R","R","l","u","R","D","u","d","R","R","l","R","R","R","U","d","u","l","u","u","R","u","R","u","l","l","l","l","u","l","R","R","r","u","l","l","u","l"
